id,name,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,state,zip
175,Oakhold brewery,Detroit Lakes,200 W Lake Dr,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,part of Lakeside Tavern,Brew Pub,http://www.oakholdbrewery.com/,-95.847619182999949,46.806553447000056,MN,56501
177,Canal Park Brewing Co,Duluth,300 Canal Park Dr,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2016 - 1,200 barrels produced",Brew Pub,https://canalparkbrewery.com/,-92.094095507999953,46.784725020000053,MN,55802
178,Fitger's Brewhouse,Duluth,600 E Superior St,11am-10pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-10pm,"2016 - 1,862 barrels produced",Brew Pub,https://fitgersbrewhouse.com/,-92.090728273999957,46.792433472000035,MN,55802
179,Boathouse Brewpub and Restaurant,Ely,47 E Sheridan St,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,2016 - 275 barrels produced,Brew Pub,http://boathousebrewpub.com/,-91.865651699999930,47.903347809000067,MN,55731
180,Loony's Brew,International Falls,3481 Main St,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-10pm,,Brew Pub,http://www.loonysbrew.com/,-93.348183153999955,48.615444889000059,MN,56649
181,Gun Flint Tavern & Brewpub,Grand Marais,111 W Wisconsin St,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,2016 - 200 barrels produced,Brew Pub,http://www.gunflinttavern.com/,-90.335223695999971,47.749435365000060,MN,55604
182,Carmody Irish Pub,Duluth,308 E Superior St,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,2016 - 115 barrels produced,Brew Pub,http://www.carmodyirishpub.com/,-92.093972337999944,46.789962040000027,MN,55802
183,Rock Bottom Brewery,Minneapolis,800 LaSalle Plaza,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,https://www.rockbottom.com/locations/minneapolis/,-93.276583101999975,44.976396022000067,MN,55402
184,The Herkimer Pub & Brewery,Minneapolis,2922 Lyndale Ave S,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,,Brew Pub,http://www.theherkimer.com/the-beer/,-93.288390308999979,44.949119542000055,MN,55408
185,Town Hall Lanes,Minneapolis,5019 S 34th Ave,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.thlanes.com/,-93.222686968999938,44.911883605000064,MN,55417
186,Northbound Smokehouse,Minneapolis,2617 E 38th St,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,http://northboundbrewpub.com/,-93.232415522999986,44.934236867000031,,
187,Town Hall Tap,Minneapolis,4810 Chicago Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,http://www.townhalltap.com/contactlocation/,-93.262834390999956,44.915752080000061,MN,55417
188,Town Hall Brewery,Minneapolis,1430 Washington Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-12am,,Brew Pub,http://www.townhallbrewery.com/,-93.247744179999984,44.973305084000053,MN,55454
189,August Schell Brewing Co,New Ulm,1860 Schells Rd,,,,,,,,,Brewery,http://www.schellsbrewery.com/,-94.449955199999962,44.289384300000052,MN,56073
191,Bang Brewing,St Paul,2320 Capp Road,,,,4pm-8pm,4pm-10pm,2pm-10pm,,,Brewery,http://bangbrewing.com/,-93.192590599999960,44.970480700000053,MN,55114
193,Blacklist Brewing Company,Duluth,200 E 2nd St,,,,,,,,,Brewery,http://www.blacklistbrewing.com/,-92.097685919999947,46.790300519000027,MN,55805
196,Gull Dam Brewing,Nisswa,25202 Smiley Rd,,,,,,,,,Brewery,http://gulldambrewing.com/,-94.286953518999951,46.517978900000053,MN,56468
198,Harriet Brewing,Minneapolis,3036 Minnehaha Ave,,,,,,,,,Brewery,http://www.harrietbrewing.com/,-93.233870399999944,44.947144400000063,MN,55406
202,Lucid Brewing,Minnetonka,6020 Culligan Way,,,,,,,,,Brewery,http://www.lucidbrewing.com/,-93.449724999999958,44.895218000000057,MN,55345
203,Mantorville Brewing Co,Mantorville,101 East Fifth St,,,,,,,,,Brewery,http://www.mantorvillebeer.com/,-92.754313199999942,44.066693800000046,MN,55955
205,Olvalde Farm and Brewing Company,Rollingstone,16557 County Road 25,,,,,,,,,Brewery,http://olvalde.com/,-91.818996299999995,44.099266600000071,MN,55969
206,Sidhe Brewing Co,St Paul,652 Jenks Ave E,,,,,,,,,Brewery,http://www.sidhebrewing.com/,-93.073105999999939,44.970967000000030,MN,55130
208,South Fork Brewing Co,Delano,229 2nd St N,,,,,,,,,Brewery,http://southforkbrewingcompany.com/,-93.787884999999946,45.042229292000059,MN,55328
210,Vine Park Brewing Co,St Paul,1254 West 7th,,,,,,,,,Brewery,http://www.vinepark.com/,-93.134336499999947,44.922240800000061,MN,55102
212,Boom Island Brewing ,Minneapolis,2014 Washington Ave N #300,,,4pm-9pm,4pm-9pm,4pm-9pm,1pm-9pm,1pm-6pm,,Brewery,http://boomislandbrewing.com/,-93.281733657999951,44.999865000000057,MN,55411
213,Pryes Brewing Co,Minneapolis,1401 W River Rd N,,,4pm-10pm,4pm-11pm,3pm-12am,11am-12am,11am-9pm,,Brewery,https://www.pryesbrewing.com/,-93.276062641999928,44.994047525000035,MN,55411
214,Lakes & Legends Brewing Co,Minneapolis,1368 LaSalle Ave,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-10pm,,Brewery,http://lakesandlegends.com,-93.279360320999956,44.969076220000041,MN,55403
215,HeadFlyer Brewing Co,Minneapolis,861 E Hennepin Ave,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.headflyerbrewing.com/,-93.210654999999974,44.896125000000040,MN,55417
216,56 Brewing Co,Minneapolis,3055 Columbia St NE,4pm-10pm,4pm-10pm,4pm-10pm,4pm-11pm,12pm-12am,12pm-12am,11am-8pm,,Brewery,http://56brewing.com/,-93.272843649999970,45.023679000000058,MN,55418
217,Tin Whiskers Brewing Co,St Paul,125 E 9th St,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://twbrewing.com/,-93.093473989999936,44.950718010000053,MN,55101
218,Urban Growler,St Paul,2325 Endicott St,,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.urbangrowlerbrewing.com/,-93.193478598999945,44.970128977000066,MN,55114
221,Wayzata Brew Works,Wayzata,294 Grove Ln E,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.wayzatabrewworks.com/,-93.518063444999939,44.969917466000027,MN,55391
223,Schram Vineyards Winery & Brewery,Waconia,8785 Airport Rd,,,,1pm-9pm,1pm-9pm,12pm-9pm,12pm-5pm,summer hours April - October,Brewery,http://schramvineyards.com/,-93.745822657999952,44.844156536000071,MN,55387
224,ENKI Brewing Co,Excelsior,1495 Stieger Lake Ln,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.623759999999947,44.868650000000059,MN,55331
225,Hoops Brewing,Duluth,325 Lake Ave S,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brewery,https://hoopsbrewing.com/,-92.095740397000000,46.783104517000012,MN,55802
226,Big Axe Brewing Co,Nisswa,25435 Main St,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-11pm,12pm-10pm,12pm-6pm,,Brewery,http://www.bigaxebrewing.com/,-94.288763649999979,46.519889983000041,MN,56468
227,Lupine Brewing Co,Delano,248 N. River St,,,4pm-10pm,4pm-10pm,4pm-11pm,2pm-11pm,2pm-6pm,,Brewery,http://lupinebrewing.com,-93.789292099999955,45.042713749000029,MN,55328
228,Starkeller Brewing Co,New Ulm,2215 N Garden St,,,,,4pm-8pm,12pm-8pm,12pm-4pm,owned by Schell's,Brewery,http://schellsbrewery.com/locations/starkeller-brewery/,-94.491950566999947,44.332827189000064,MN,56073
229,Bank Brewing Co,Hendricks,200 S Main St,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.bankbrewing.com,-96.425783825999986,44.505996668000073,MN,56136
230,Day Block Brewing Co,Minneapolis,1105 Washington Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,https://www.dayblockbrewing.com,-93.252941264999933,44.975175655000037,MN,55415
232,Lazy Loon Lanes,Norwood Young America,305 Wilson St E,1pm-8pm,1pm-8pm,1pm-8pm,1pm-8pm,1pm-10pm,1pm-10pm,1pm-8pm,"bowling, guest beer, wine, other drink options",Brew Pub,http://lovetheloon.com/bowling.html,-93.921385677999979,44.770427572000067,MN,55368
233,Dubh Linn Irish Brew Pub,Duluth,109 W Superior St,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,,2016 - 150 barrels produced,Brew Pub,https://dubhlinnpub.com/,-92.099829910999972,46.785656031000023,MN,55802
234,Reads Landing Brewing Co,Reads Landing,70555 202nd St,,,11am-9pm,11am-9pm,11am-10pm,11am-10pm,12pm-9pm,,Brew Pub,https://www.rlbrewingco.com,-92.078843111999959,44.402877640000042,MN,55968
235,Hoppy Girl Brewing,Wabasha,136 Bridge Ave,late summer 17,confused on the name,,,,,,,Brew Pub,http://www.hoppygirlbrewing.com,-92.035645064999983,44.384439750000070,MN,55981
