id,name,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,state,zip
52,10K Brewing,Anoka,2005 2nd Ave,,,4pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://10kbrew.com/,-93.389547480999966,45.198265451000054,MN,55303
53,The Wicked Wort Brewing Co,Robbinsdale,4165 W Broadway Ave,3pm-10pm,3pm-11pm,3pm-11pm,3pm-11pm,12pm-12:00am,12pm-12am,11:30am-9pm,,Brewery,http://www.wickedwortbrewingco.com/,-93.339150490999955,45.030915014000080,MN,55422
54,Steel Toe Brewing Co,St Louis Park,4848 W 35th St,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.steeltoebrewing.com/,-93.341267602999949,44.941433501000077,MN,55416
55,Maple Island Brewing Co,Stillwater,225 Main St N,12pm-8pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-8pm,,Brewery,http://www.mapleislandbrewing.com/,-92.806586420999963,45.058164547000040,MN,55082
56,Badger Hill Brewing Co,Shakopee,4571 Valley Industrial Blvd,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-11pm,12pm-11pm,11:30am-10pm,,Brewery,http://www.badgerhillbrewing.com/,-93.460721174999946,44.793991811000062,MN,55379
57,Mankato Brewery,North Mankato,1119 Center St,,4pm-7pm,,4pm-7pm,4pm-7pm,12pm-7pm,10am-4pm,,Brewery,http://mankatobrewery.com/,-94.014073908999990,44.181480918000034,MN,56003
58,Montgomery Brewing Co,Montgomery,306 2nd St NW,,,3pm-8pm,3pm-8pm,3pm-8pm,1pm-8pm,11am-2pm,,Brewery,http://www.montgomerybrewing.com,-93.582828616999961,44.441277323000065,MN,56069
59,Oswald Brewing Co,Blue Earth,110 S Main St,,,,3pm-7pm,3pm-10pm,1pm-10pm,1pm-5pm,,Brewery,https://www.oswaldbrewingcompany.com,-94.102600421999952,43.638225759000072,MN,56013
60,Angry Inch Brewing Co,Lakeville,20730 Holyoke Ave,,,2pm-10pm,2pm-10pm,12pm-12am,12pm-12am,12pm-8pm,,Brewery,https://www.angryinchbrewing.com,-93.243011316999969,44.647607879000077,MN,55044
61,Blacklist Artisan Ales,Duluth,120 E Superior St,3pm-12am,3pm-12am,3pm-12am,3pm-12am,11am-1am,11am-1am,11am-1am,2016 - 250 barrels produced,Brewery,https://blacklistbeer.com/,-92.096057492999989,46.788345440000057,MN,55802
62,Clockwerks Brewing Co,Minneapolis,25 4th St N,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.clockwerksbrewing.com/,-93.272392776999936,44.980875791000074,MN,55401
63,Roets Jordan Brewing Co,Jordan,230 Broadway St S,,,,,3pm-10pm,3pm-10pm,12pm-6pm,,Brewery,http://roetsjordanbrewery.com,-93.626259895999965,44.665499766000032,MN,55352
64,Tanzenwald Brewing Co,Northfield,103 Water St N,,3pm-10pm,3pm-10pm,3pm-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.tanzenwald.com,-93.162087708999991,44.459647257000029,MN,55057
65,Tilion Brewing Co,Cannon Falls,432 Mill St W,,,,,,,,,Brewery,https://tilionbrewing.com,-92.906994731999987,44.508143308000044,MN,55009
66,Spiral Brewery,Hastings,109 2ND ST E,,,,,,,,,Brewery,http://spiralbrewery.com,-92.851856468999998,44.744489041000065,MN,55033
67,Imminent Brewing Co,Northfield,519 Division St S,,,,3pm-11pm,3pm-11pm,11am-11pm,11am-8pm,,Brewery,http://www.imminentbrewing.com,-93.159546695999950,44.454209361000039,MN,55057
68,Chapel Brewing Co,Dundas,15 Co Rd 1,,,,,,,,,Brewery,http://chapelbrewing.com,-93.203891999999939,44.429691462000051,MN,55019
69,Half Pint Brewing Co,Waseca,40099 150th St,,,,,,,,,,https://www.facebook.com/Half-Pint-Brewing-Company-1428278567395030/,-93.469334226999990,44.140213072000051,MN,56093
70,Ward House Brewery,Waseca,111 W ELM AVE,,,,,,,,,Brewery,https://www.facebook.com/pg/Ward-House-Brewery-2035594406669494/photos/?ref=page_internal,-93.508034411999972,44.077473555000019,MN,56093
71,Angry Hog Brewery,Austin,676-686 23RD Ave NW,,,,,,,,"coming soon, not open yet",Brewery,http://www.angryhogbrewery.com/about.html,-92.979878317000001,43.691579491000013,MN,55912
72,Giesenbru Bier Co,New Prague,1302 1st St NE,,,,,,,,,Brewery,https://www.giesenbraubierco.com,-93.558775674999936,44.543895118000080,MN,56071
73,Island City Brewing Co,Winona,65 E Front St,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-12am,12pm-12am,12pm-8pm,,Brewery,http://islandcitybrew.com,-91.634661310999945,44.053685401000045,MN,55987
74,Unmapped Brewing Co,Minnetonka,14625 Excelsior Blvd,4pm-10pm,4pm-10pm,4pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://unmappedbrewing.com/,-93.465921871999953,44.903820101000065,MN,55345
75,Hamel Brewing Co,Hamel,22 Hamel Rd,,,,,,,,,,http://www.hamelbrewingcompany.com/,-93.522648776999972,45.040475763000074,MN,55340
76,Wooden Hill Brewing Co,Edina,7405 Bush Lake Rd,,,,,,,,not open yet,Brewery,https://woodenhillbrewing.com,-93.359108409999976,44.867639016000048,MN,55439
77,Shakopee Brew Hall,Shakopee,126 1st Ave E,,,3pm - 10pm,3pm - 10pm,3pm - 11pm,12pm - 11pm,12pm - 8pm,,Brewery,http://shakopeebrewhall.com,-93.525850902999991,44.798507077000068,MN,55379
78,Defender Brewing,Chaska,850 Chaska Blvd,,,,,,,,,Brewery,https://www.facebook.com/DefenderBrewing/,-93.611613910999964,44.783830316000035,MN,55318
79,Boathouse Brothers Brewing Co,Prior Lake,16221 Main Ave SE,3pm - 10pm,3pm - 10pm,3pm - 10pm,3pm - 10pm,3pm - 10pm,11am - 10pm,11am - 7pm,,Brewery,http://www.boathousebrothersbrewing.com,-93.424004321999973,44.714155597000065,MN,55372
80,Cuyuna Brewing Co,Crosby,1 Main St,,,,7pm-11pm,12pm-11pm,12pm-11pm,1pm-4pm,,Brewery,http://www.cuyunabrewing.com/,-93.952112822999936,46.482574359000061,MN,56441
81,Invictus Brewing,Minneapolis,2033 105th Ave NE,,,,,,,,,,http://invictusbrewingco.com/,-93.219422427999973,45.160977291000037,MN,55449
82,Blue Wolf Brewing Co,Brooklyn Park,8515 Edinburgh Centre Dr,,,,,,,,,,https://untappd.com/BlueWolfBrewingCo,-93.306199604999975,45.109293115000064,MN,55443
83,Cosmos Brewing,Hugo,9686 140th St N,,,,,,,,,Brewery,http://cosmosbrewing.com/21.html,-92.912003749999940,45.153163409000058,MN,55038
84,Garphish Brewing,Bethel,165 Main St,,,,,,,,,Brewery,https://www.facebook.com/garphishbrewing/,-93.269353978999959,45.404147438000045,MN,55005
85,Rustech Brewing Co,Monticello,211 Pine St,,,,,,,,expected to open in early 2018,Brewery,http://www.rustechbrewing.com,-93.795196998999984,45.304999640000062,MN,55362
87,Grainy Days Brewery and Supply,Duluth,1931 W Superior St,,,,,,,,"This is not a brewery or brew pub, they sell home brewing supplies",,https://www.facebook.com/GrainyDays/,-92.123092238999959,46.768093728000053,MN,55806
88,Oakhold Farmhouse Brewery,Duluth,5623 N Cloquet Rd,,,,,,,,,,http://www.oakholdbrewery.com/,-92.278951600999960,46.735494312000064,MN,55810
89,Rapids Brewing Co,Grand Rapids,214 N Pokegama Ave,,,,,,,,,,http://www.gunflinttavern.com/,-93.527980398999944,47.234324846000042,MN,55744
90,Klockow Brewing Co,Grand Rapids,36 SE 10th St,,,,,,,,,,https://klockowbrewing.com/,-93.527738192999934,47.220931042000068,MN,55744
91,Starry Eyed Brewing Co,Little Falls,16757 11th St NE,,,,,,,,,,https://www.starryeyedbrewing.com/home-1,-94.345565475999976,46.003499817000034,MN,56345
92,14 Lakes Brewing Co,Crosslake,36846 Co Rd 66,,,,,,,,,,https://www.ratebeer.com/brewers/14-lakes-craft-brewing-company/33000/,-94.112249853999970,46.687017918000031,MN,56442
93,Pantown Brewing Co,St Cloud,408 37TH AVE N,,,,,,,,,,https://www.facebook.com/The-Pantown-Brewing-Company-1912021289018755/,-94.202224266999963,45.561702695000065,MN,56303
94,Three Twenty Brewing Co,Pine City,135 5th St SE,,,,4pm-10pm,3pm-10pm,12pm-10pm,,,Brewery,http://www.threetwentybrewing.com/,-92.969432580999978,45.828033088000034,MN,55063
95,Revelation Ale Works,Hallock,146 S. Atlantic Ave,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.revales.com,-96.945813513999951,48.773399274000035,MN,56728
96,Copper Trail Brewing Co,Alexandria,410 30th Ave E #103,,,,3:30pm-10pm,3:30pm-10pm,12pm-10pm,12pm-4pm,,Brewery,http://coppertrailbrewing.com/,-95.371940409999979,45.864465900000035,MN,56308
97,Red Wing Brewery,Red Wing,1411 Old W Main St,,4pm-9pm,4pm-9pm,4pm-9pm,12pm-10pm,12pm-10pm,12pm-8pm,,Brewery,http://www.redwingbrewing.com,-92.547356530999991,44.562662356000025,MN,55066
98,Kinney Creek Brewery,Rochester,1016 7th St NW,12pm-6pm,12pm-6pm,12pm-8pm,12pm-12am,12pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.kinneycreekbrewery.com/,-92.478244184999937,44.031005295000057,MN,55901
99,LTS Brewing Co,Rochester,2001 32nd Ave NW,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,11am-10pm,11am-10pm,,Brewery,http://www.ltsbrewing.com,-92.510297485999970,44.044706116000036,MN,55901
100,Karst Brewing Co,Fountain,315 1st St,,,,,5pm-10pm,12pm-10pm,,opened Memorial Day weekend,Brewery,http://karstbrewed.com,-92.135053314999936,43.740047358000012,MN,55935
101,F-Town Brewing Co,Faribault,22 4th St NE,,,3pm-9pm,3pm-9pm,3pm-10pm,12pm-10pm,12pm-3pm,,Brewery,http://www.ftownbeer.com/ftown/,-93.267354069999953,44.294990724000051,MN,55021
102,Bent Brewstillery,Roseville,1744 Terrace Dr,,4pm-10pm,4pm-10pm,4pm-10pm,2:30pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.bentbrewstillery.com/,-93.173863720999975,45.024345197000052,MN,55113
103,Excelsior Brewing Co,Excelsior,421 3rd St,,4pm-9pm,4pm-10pm,4pm-10pm,12pm-11pm,12pm-11pm,12pm-6pm,,Brewery,http://excelsiorbrew.com/,-93.566832151999961,44.902096189000062,MN,55331
104,Back Channel Brewing Collective,Spring Park,4787 Shoreline Dr,,,,4pm - 10pm,12pm - 10pm,12pm - 10pm,11pm - 6pm,,Brewery,https://www.backchannelbrewing.com,-93.643928867999989,44.936365238000064,MN,55384
105,LTD Brewing Co,Hopkins,725 Main St,4pm-10pm,4pm-10pm,4pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-10pm,,Brewery,http://www.ltdbrewing.com/,-93.409948627999938,44.924565671000039,MN,55343
106,Lift Bridge Brewery,Stillwater,1900 Tower Dr,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.liftbridgebrewery.com/,-92.831767745999969,45.039044942000025,MN,55082
107,Big Wood Brewery,White Bear Lake,2222 4th St,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,1pm-11pm,12pm-6pm,,Brewery,http://www.bigwoodbrewery.com/,-93.008088759999978,45.085112179000085,MN,55110
108,Hammerheart Brewing Co,Lino Lakes,7785 Lake Dr,,2pm-10pm,2pm-10pm,2pm-10pm,2pm-10pm,2pm-10pm,12pm-8pm,,Brewery,http://www.hammerheartbrewing.com/,-93.106938474999936,45.188991326000064,MN,55014
109,Bemidji Brewing Co,Bemidji,401 Beltrami Ave NW,,,4pm-10pm,4pm-10pm,2pm-11pm,2pm-11pm,,moving to new location in Summer,Brewery,http://bemidjibeer.com/,-94.884640330999957,47.469861810000054,MN,56601
110,Portage Brewing Co,Walker,107 S 5th St,,,,,4pm-9pm,2pm-9pm,,these hours until Grand Opening,Brewery,https://portagebeer.com,-94.581677711999987,47.101200308000045,MN,56484
111,Jack Pine Brewery,Brainerd,7942 College Rd,,,4pm-9pm,4pm-9pm,2pm-10pm,2pm-10pm,1pm-5pm,broke bround on new location (10-7-16),Brewery,http://jackpinebrewery.com/,-94.253212694999945,46.377560621000050,MN,56401
112,Roundhouse Brewery,Brainerd,1551 Northern Pacific Rd,,,,4pm-8pm,3pm-10pm,3pm-10pm,,,Brewery,http://www.roundhousebrew.com/,-94.185581253999942,46.356253821000053,MN,56401
113,Moose Lake Brewing Co,Moose Lake,244 Lakeshore Dr,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-10pm,12pm-10pm,,2016 - 56 barrels produced,Brewery,http://www.mooselakebrewing.com/,-92.767667335999988,46.447462378000075,MN,55767
114,Junkyard Brewing Co,Moorhead,1416 1st Ave N,,4pm-9pm,4pm-9pm,4pm-9pm,4pm-12am,12pm-12am,,,Brewery,http://www.junkyardbeer.com/,-96.756516010999974,46.876252499000024,MN,56560
115,Gull Dam Brewery,Nisswa,23836 Smiley Rd,,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-5pm,,Brewery,http://gulldambrewing.com/,-94.297199726999963,46.497597635000034,MN,56468
116,Big Axe Brewing Company,Nisswa,25435 Main St,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-11pm,12pm-10pm,12pm-6pm,,Brewery,http://www.bigwoodbrewery.com/,-94.289132386999938,46.519900749000044,MN,56468
117,Disgruntled Brewing Co,Perham,735 2nd St NE,,,,3pm-10pm,3pm-10pm,3pm-10pm,11am-4pm,,Brewery,https://www.disgruntledbeer.com/,-95.559052532999942,46.590503265000052,MN,56573
118,Bent Paddle Brewing Co,Duluth,1912 W Michigan St,,,2pm-10pm,2pm-10pm,2pm-11pm,12pm-11pm,12pm-5pm,"2016 - 15,700 barrels produced",Brewery,http://www.bentpaddlebrewing.com/,-92.121900485999973,46.767761492000027,MN,55806
119,Lake Superior Brewing Co,Duluth,2711 W Superior St,,,,,4pm-9pm,3pm-9pm,,"2016 - 1,600 barrels produced",Brewery,http://www.lakesuperiorbrewing.com/,-92.132880994999937,46.761270543000080,MN,55806
120,Castle Danger Brewery,Two Harbors,17 7th St,,,12pm-9pm,12pm-9pm,12pm-10pm,12pm-10pm,12pm-5pm,"2016 - 9,200 barrels produced",Brewery,http://www.castledangerbrewery.com/,-91.673198150999951,47.019461779000032,MN,55616
121,Lupulin Brewing Co,Big Lake,570 Humboldt Dr,,,4pm-10pm,4pm-10pm,4pm-11pm,12pm-11pm,11am-6pm,,Brewery,http://www.lupulinbrewing.com/,-93.739582339999956,45.331609122000025,MN,55309
122,Hayes' Public House Brew,Buffalo,112 1st St S,,,5pm-10pm,5pm-10pm,3pm-10pm,3pm-10pm,2pm-7pm,,Brewery,http://hayespublichouse.com,-93.874585488999969,45.170593783000072,MN,55313
123,Voyageur Brewing Co,Grand Marais,233 MN-61,,,,4pm-11pm,4pm-11pm,12pm-11pm,,"2016 - 1,300 barrels produced",Brewery,http://www.voyageurbrewing.com/,-90.336436759999984,47.750155477000078,MN,55604
124,Third Street Brewhouse,Cold Spring,219 Red River Ave N,,,,,4pm-8pm,12pm-5pm,,"2014 - 84,000 barrels produced (3rd in MN)",Brewery,http://www.thirdstreetbrewhouse.com/,-94.429377177999982,45.458925162000064,MN,56320
126,Beaver Island Brewing Co,St Cloud,216 6th Ave S,,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-10pm,11am-7pm,,Brewery,http://www.beaverislandbrew.com/,-94.156974902999991,45.558413796000032,MN,56301
127,Bad Habit Brewing Co,St Joseph,15 E Minnesota St,,,4pm-10pm,4pm-10pm,3pm-11pm,1pm-11pm,1pm-7pm,,Brewery,http://www.badhabitbeer.com/,-94.317293453999966,45.564979916000020,MN,56374
128,Foxhole Brewhouse,Willmar,313 4th St SW,,,4pm-9pm,4pm-9pm,3pm-10pm,2pm-10pm,1pm-4pm,,Brewery,http://www.foxholebrewhouse.com,-95.048148520999973,45.121202263000043,MN,56201
129,Brau Brothers Brewing Co,Marshall,910 E Main St,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-9pm,,Brewery,http://www.braubeer.com/,-95.776302517999966,44.436344791000060,MN,56258
130,Take 16 Brewing Co,Luverne,509 E Main St,,,,4pm-7pm,,,,,Brewery,http://www.take16beer.com,-96.203553851999956,43.654337878000035,MN,56156
132,Goat Ridge Brewing Co,New London,17 Central Ave W,,,,3pm-9pm,12pm-10pm,12pm-10pm,,,Brewery,http://www.goatridgebrewing.com/,-94.944635754999979,45.301120495000070,MN,56273
133,Talking Waters Brewing,Montevideo,205 S 1st St,,,,3pm-10pm,3pm-10pm,12pm-10pm,,,Brewery,https://www.talkingwatersbrewing.com,-95.724336229999949,44.944614854000065,MN,56265
135,Enki Brewing Co,Victoria,1495 Stieger Lake Ln,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.656459240999936,44.861408963000024,MN,55386
